insee_code,categorie_terrain,commune_name,median_price_m2,nb_transactions,perc_bare_land
83104,Micro-terrains,RIANS,2983.8709677419356,7,0.14285714285714285
83104,Terrains Standards,RIANS,670.0,64,0.5
83106,Micro-terrains,ROCBARON,3541.6666666666665,1,0.0
83106,Terrains Standards,ROCBARON,850.5494505494505,44,0.4090909090909091
83107,Micro-terrains,ROQUEBRUNE-SUR-ARGENS,2933.467741935484,12,0.75
83107,Terrains Standards,ROQUEBRUNE-SUR-ARGENS,1192.0242214532873,158,0.4873417721518987
83108,Grands Domaines,ROQUEBRUSSANNE LA,8.957466481738326,6,0.8333333333333334
83108,Micro-terrains,ROQUEBRUSSANNE LA,5400.0,7,0.5714285714285714
83108,Terrains Standards,ROQUEBRUSSANNE LA,520.0,28,0.5714285714285714
83109,Terrains Standards,LA ROQUE ESCLAPON,211.66666666666666,1,0.0
83110,Micro-terrains,ROUGIERS,1200.0,1,1.0
83110,Terrains Standards,ROUGIERS,694.0,15,0.6666666666666666
83111,Grands Domaines,STE ANASTASIE SUR ISSOLE,126.2135922330097,3,0.3333333333333333
83111,Terrains Standards,STE ANASTASIE SUR ISSOLE,595.1939148979093,16,0.5625
83112,Grands Domaines,SAINT-CYR-SUR-MER,124.64812722698389,2,1.0
83112,Micro-terrains,SAINT-CYR-SUR-MER,14612.062937062936,4,1.0
83112,Terrains Standards,SAINT-CYR-SUR-MER,1325.096525096525,99,0.45454545454545453
83113,Grands Domaines,SAINT-JULIEN,35.39143783046222,1,1.0
83113,Micro-terrains,SAINT-JULIEN,19950.0,5,1.0
83113,Terrains Standards,SAINT-JULIEN,675.3731343283582,39,0.4358974358974359
83114,Grands Domaines,SAINT-MARTIN-DE-PALLIERES,0.4789272030651341,1,1.0
83114,Terrains Standards,SAINT-MARTIN-DE-PALLIERES,742.4,9,0.5555555555555556
83115,Micro-terrains,SAINTE MAXIME,9600.0,3,1.0
83115,Terrains Standards,SAINTE MAXIME,2080.7,171,0.49122807017543857
83116,Micro-terrains,ST MAXIMIN LA STE BAUME,6000.0,16,0.5625
83116,Terrains Standards,ST MAXIMIN LA STE BAUME,969.3,121,0.3884297520661157
83117,Micro-terrains,SAINT-PAUL-EN-FORET,3191.4893617021276,3,1.0
83117,Terrains Standards,SAINT-PAUL-EN-FORET,1260.0,38,0.6052631578947368
83118,Micro-terrains,SAINT RAPHAEL,9744.186046511628,8,0.75
83118,Terrains Standards,SAINT RAPHAEL,1443.5483870967741,257,0.3852140077821012
83119,Grands Domaines,SAINT TROPEZ,2771.4634146341464,6,0.6666666666666666
83119,Micro-terrains,SAINT TROPEZ,4791.999080882353,2,1.0
83119,Terrains Standards,SAINT TROPEZ,7335.0,80,0.4375
83120,Micro-terrains,SAINT-ZACHARIE,5888.888888888889,1,1.0
83120,Terrains Standards,SAINT-ZACHARIE,999.1153846153846,42,0.47619047619047616
83121,Grands Domaines,SALERNES,33.52601156069364,1,1.0
83121,Micro-terrains,SALERNES,3000.0,5,0.6
83121,Terrains Standards,SALERNES,1080.9248554913295,98,0.4897959183673469
83122,Grands Domaines,LES SALLES SUR VERDON,19.974795211090107,1,0.0
83122,Terrains Standards,LES SALLES SUR VERDON,604.7418720646594,4,0.25
