insee_code;school_name;secteur;ips_score
31555;ECOLE ELEMENTAIRE PUBLIQUE FERDINAND DE LESSEPS;public;85.5
31555;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;public;115.3
31555;ECOLE ELEMENTAIRE PUBLIQUE HENRI GUILLAUMET;public;98.6
31555;ECOLE ELEMENTAIRE PUBLIQUE LITTRE;public;95.7
31582;ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY;public;121.3
31555;ECOLE ELEMENTAIRE PUBLIQUE COURREGE;public;123.5
31555;ECOLE ELEMENTAIRE PUBLIQUE VICTOR HUGO;public;78.0
31526;ECOLE ELEMENTAIRE PUBLIQUE LES TROIS CHENES;public;125.1
31555;ECOLE ELEMENTAIRE PUBLIQUE MICHOUN;public;93.3
31228;ECOLE PRIMAIRE PUBLIQUE LES PETITS ARTISTES;public;130.7
31203;ECOLE PRIMAIRE PUBLIQUE MARIE ET PIERRE CURIE;public;118.9
31555;ECOLE ELEMENTAIRE PUBLIQUE MARIE ET PIERRE CURIE;public;106.9
31069;ECOLE PRIMAIRE PUBLIQUE LOUIS WEIDKNNET;public;114.8
31069;ECOLE PRIMAIRE PUBLIQUE JEAN MOULIN;public;133.0
31571;ECOLE ELEMENTAIRE PUBLIQUE;public;121.6
31149;ECOLE ELEMENTAIRE PUBLIQUE ALAIN SAVARY;public;109.5
31555;ECOLE ELEMENTAIRE PUBLIQUE PAPUS;public;75.5
31208;ECOLE ELEMENTAIRE PUBLIQUE FELIX TROMBE;public;111.2
31557;ECOLE ELEMENTAIRE PUBLIQUE LE PETIT TRAIN;public;135.7
31555;ECOLE PRIMAIRE PUBLIQUE OLYMPE DE GOUGES;public;90.5
31033;ECOLE PRIMAIRE PUBLIQUE LOUIS FILLOL;public;106.1
31446;ECOLE ELEMENTAIRE PUBLIQUE ANGELA DAVIS;public;123.9
31555;ECOLE PRIMAIRE PUBLIQUE GENEVIEVE DE GAULLE ANTHONIOZ;public;91.3
31555;ECOLE PRIMAIRE PUBLIQUE GERMAINE TILLION;public;89.9
32213;ECOLE ELEMENTAIRE PUBLIQUE;public;107.8
32231;ECOLE PRIMAIRE PUBLIQUE;public;110.1
32253;ECOLE PRIMAIRE PUBLIQUE;public;99.8
32268;ECOLE PRIMAIRE PUBLIQUE;public;118.3
32282;ECOLE PRIMAIRE PUBLIQUE;public;119.7
32292;ECOLE ELEMENTAIRE PUBLIQUE;public;100.5
32302;ECOLE ELEMENTAIRE PUBLIQUE;public;108.0
32311;ECOLE ELEMENTAIRE PUBLIQUE;public;94.6
32432;ECOLE ELEMENTAIRE PUBLIQUE;public;115.3
32155;ECOLE ELEMENTAIRE PUBLIQUE;public;101.1
32180;ECOLE PRIMAIRE PUBLIQUE;public;92.1
32185;ECOLE ELEMENTAIRE PUBLIQUE;public;107.7
32013;ECOLE ELEMENTAIRE PUBLIQUE ROUGET DE LISLE;public;97.0
32013;ECOLE ELEMENTAIRE PUBLIQUE ARAGO;public;105.8
32013;ECOLE ELEMENTAIRE PUBLIQUE PONT NATIONAL;public;107.6
32013;ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES;public;95.8
32013;ECOLE ELEMENTAIRE PUBLIQUE SAINT EXUPERY;public;103.8
32089;ECOLE ELEMENTAIRE PUBLIQUE;public;113.9
32095;ECOLE PRIMAIRE PUBLIQUE;public;114.9
32107;ECOLE ELEMENTAIRE PUBLIQUE PIERRE MENDES FRANCE;public;83.0
32108;ECOLE ELEMENTAIRE PUBLIQUE;public;103.2
32117;ECOLE PRIMAIRE PUBLIQUE;public;119.5
32120;ECOLE ELEMENTAIRE PUBLIQUE;public;130.0
32162;ECOLE PRIMAIRE PUBLIQUE;public;115.5
32210;ECOLE PRIMAIRE PUBLIQUE;public;135.4
33003;ECOLE ELEMENTAIRE AIME CESAIRE;public;91.5
33003;ECOLE ELEMENTAIRE LA GORP;public;94.4
33005;ECOLE ELEMENTAIRE CAPSUS;public;125.4
33009;ECOLE PRIMAIRE LES MOUETTES;public;91.4
33016;ECOLE ELEMENTAIRE;public;113.0
33017;ECOLE PRIMAIRE;public;107.1
33023;ECOLE PRIMAIRE L AYGUE MARINE;public;114.2
33028;ECOLE PRIMAIRE RAOUL SECONDAT DE MONTESQUIEU;public;117.2
33033;ECOLE PRIMAIRE;public;114.6
33039;ECOLE ELEMENTAIRE ROGER SALENGRO;public;128.1
33040;ECOLE PRIMAIRE;public;102.4
33046;ECOLE PRIMAIRE;public;104.7
33049;ECOLE PRIMAIRE;public;114.0
33050;ECOLE ELEMENTAIRE;public;113.8
33053;ECOLE ELEMENTAIRE;public;98.8
33062;ECOLE PRIMAIRE;public;113.1
33063;ECOLE ELEMENTAIRE PAUL BERT;public;135.3
33063;ECOLE ELEMENTAIRE MONTAUD;public;117.8
33063;ECOLE ELEMENTAIRE CARLE VERNET;public;89.0
33063;ECOLE ELEMENTAIRE PAUL DOUMER;public;124.9
33095;ECOLE PRIMAIRE;public;92.6
33099;ECOLE ELEMENTAIRE;public;121.4
33120;ECOLE PRIMAIRE YVES FOURTHON;public;103.0
33122;ECOLE ELEMENTAIRE DU PARC;public;125.2
33146;ECOLE PRIMAIRE VAUBAN;public;95.1
33174;ECOLE PRIMAIRE RENE PRINCETEAU;public;101.3
33185;ECOLE PRIMAIRE BOURG;public;110.8
33192;ECOLE ELEMENTAIRE LANGE;public;113.5
33205;ECOLE PRIMAIRE;public;111.0
33234;ECOLE ELEMENTAIRE;public;130.6
33236;ECOLE ELEMENTAIRE BOURG;public;111.9
33243;ECOLE PRIMAIRE EPINETTE;public;106.3
33254;ECOLE ELEMENTAIRE;public;100.5
33260;ECOLE PRIMAIRE DU BOURG;public;110.9
33266;ECOLE PRIMAIRE LA FORET;public;103.1
33279;ECOLE PRIMAIRE;public;104.6
33281;ECOLE PRIMAIRE EDOUARD HERRIOT;public;117.8
33281;ECOLE ELEMENTAIRE JEAN JAURES 2;public;115.0
33281;ECOLE ELEMENTAIRE MARCELIN BERTHELOT;public;131.5
33307;ECOLE PRIMAIRE SIMONE VEIL;public;111.0
33318;ECOLE ELEMENTAIRE JEAN CORDIER;public;134.0
33318;ECOLE ELEMENTAIRE PIERRE CASTAING;public;129.3
33318;ECOLE PRIMAIRE TOCTOUCAU;public;129.1
33323;ECOLE PRIMAIRE;public;119.3
33324;ECOLE PRIMAIRE PIERRE MARBOUTY;public;92.8
33334;ECOLE ELEMENTAIRE;public;112.3
33337;ECOLE PRIMAIRE JOSEPHINE BAKER;public;98.0
33339;ECOLE PRIMAIRE;public;112.6
33342;ECOLE PRIMAIRE;public;109.9
33349;ECOLE PRIMAIRE GABRIEL MASSIAS;public;129.4
33358;ECOLE PRIMAIRE;public;108.8
33362;ECOLE PRIMAIRE;public;92.8
33018;ECOLE PRIMAIRE BEYNEL;public;93.0
33382;ECOLE PRIMAIRE NELSON MANDELA;public;87.7
33385;ECOLE PRIMAIRE ROSA BONHEUR;public;81.5
33387;ECOLE PRIMAIRE;public;101.1
33392;ECOLE PRIMAIRE;public;107.9
33422;ECOLE PRIMAIRE JACQUES PREVERT;public;119.4
33435;ECOLE PRIMAIRE;public;103.4
33436;ECOLE PRIMAIRE;public;108.3
33437;ECOLE PRIMAIRE;public;90.3
33442;ECOLE ELEMENTAIRE JEAN FRANCOIS MARTINEZ;public;89.4
33464;ECOLE ELEMENTAIRE;public;101.1
33487;ECOLE PRIMAIRE;public;99.2
33517;ECOLE PRIMAIRE;public;96.4
33519;ECOLE ELEMENTAIRE TABARLY;public;115.0
33523;ECOLE PRIMAIRE JULES FERRY;public;98.6
33527;ECOLE PRIMAIRE DELTA;public;111.0
33529;ECOLE ELEMENTAIRE CAZAUX LAFON;public;103.9
33539;ECOLE ELEMENTAIRE EDOUARD DUBOIS;public;106.4
33550;ECOLE ELEMENTAIRE JOLIOT CURIE;public;109.8
33551;ECOLE ELEMENTAIRE;public;93.3
33550;ECOLE ELEMENTAIRE JEAN MOULIN;public;92.7
33167;ECOLE ELEMENTAIRE LOUIS PASTEUR;public;97.1
33195;GROUPE SCOLAIRE DE GRIGNOLS;public;91.0
33293;ECOLE ELEMENTAIRE PIERRE BARBARON;public;113.6
33081;ECOLE PRIMAIRE PRIVEE INSTITUTION J J LATASTE;privé sous contrat;119.3
33063;ECOLE PRIMAIRE PRIVEE LE MIRAIL;privé sous contrat;126.7
33063;ECOLE PRIMAIRE PRIVEE INSTITUTION NOTRE DAME;privé sous contrat;128.4
33063;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH DE TIVOLI;privé sous contrat;137.9
33063;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;privé sous contrat;134.5
33039;ECOLE PRIMAIRE PRIVEE SAINTE MARIE DE LA FERRADE;privé sous contrat;135.3
33005;ECOLE PRIMAIRE PRIVEE BON ACCUEIL;privé sous contrat;112.5
33402;ECOLE PRIMAIRE PRIVEE ANGLADE LANGALERIE;privé sous contrat;103.6
33366;ECOLE PRIMAIRE PRIVEE INSTITUTION SAINT ANDRE SAINTE MARIE;privé sous contrat;118.2
33063;ECOLE ELEMENTAIRE ALPHONSE DUPEUX;public;139.1
33071;ECOLE PRIMAIRE NOEL MOUTY;public;101.5
33073;ECOLE ELEMENTAIRE;public;95.3
33184;ECOLE ELEMENTAIRE;public;89.8
33199;ECOLE ELEMENTAIRE JULES FERRY;public;120.1
33213;ECOLE ELEMENTAIRE JEAN CAZAUVIEILH;public;123.0
33261;ECOLE PRIMAIRE GEORGES DELORD;public;105.4
33319;ECOLE ELEMENTAIRE ECOLE DE PESSAC SUR DORDOGNE;public;94.8
33344;ECOLE PRIMAIRE;public;96.5
33545;ECOLE PRIMAIRE LUCIE AUBRAC;public;92.0
33065;ECOLE ELEMENTAIRE ANDRE PEYNAUD;public;127.9
34172;ECOLE ELEMENTAIRE MARC BLOCH;public;74.4
