insee_code;nb_households;nb_inhabitants;consumption_units;median_income;taxable_households_rate;solo_median_income;family_median_income
01143;4130.0;9475.0;6425.0;46650.0;-22.5;37230.0;44850.0
01145;514.0;1246.0;833.8;24100.0;;;
01146;165.0;424.0;280.8;24550.0;;;
01147;220.0;520.0;352.0;21490.0;;;
01148;802.0;1903.0;1289.0;23960.0;;;
01149;454.0;1100.0;745.0;27910.0;;;
01150;92.0;231.0;154.0;23580.0;;;
01151;517.0;1200.0;819.3;24570.0;;;
01152;299.0;739.0;496.7;28070.0;;;
01153;758.0;2061.0;1320.0;49930.0;-19.2;;50210.0
01155;63.0;137.0;95.5;23720.0;;;
01156;321.0;875.0;561.0;26730.0;;;
01157;977.0;2491.0;1644.0;27070.0;-17.9;;29090.0
01158;383.0;954.0;632.2;37990.0;;;
01159;1497.0;3420.0;2350.7;24360.0;-15.4;22010.0;25780.0
01160;3704.0;7669.0;5396.2;27220.0;-15.1;31370.0;39820.0
01162;;;;;;;
01163;865.0;2070.0;1400.8;23810.0;-14.2;;25790.0
01165;593.0;1660.0;1058.8;26140.0;;;
01166;1011.0;2636.0;1726.2;27060.0;-16.5;;30090.0
01167;292.0;732.0;485.6;24530.0;;;
01169;271.0;703.0;462.1;25500.0;;;
01170;382.0;1073.0;688.8;24070.0;;;
01171;315.0;846.0;556.7;25370.0;;;
01173;5068.0;11226.0;7704.8;35280.0;-18.8;35920.0;39840.0
01174;70.0;157.0;108.5;26560.0;;;
01175;349.0;841.0;570.0;22580.0;;;
01177;84.0;183.0;128.4;24680.0;;;
01179;846.0;1961.0;1344.9;24460.0;;;
01180;318.0;763.0;513.0;55340.0;;;
01181;447.0;1206.0;791.8;25220.0;;;
01183;573.0;1474.0;970.9;25240.0;;;
01184;364.0;794.0;555.5;24580.0;;;
01185;1978.0;3861.0;2814.6;23080.0;-14.2;19930.0;27020.0
01187;322.0;645.0;467.5;23000.0;;;
01188;249.0;655.0;423.0;24070.0;;;
01189;434.0;1016.0;689.2;28040.0;;;
01190;;;;;;;
01191;69.0;152.0;105.8;24140.0;;;
01192;934.0;2213.0;1495.2;23500.0;-15.2;;26530.0
01193;97.0;212.0;150.2;23870.0;;;
01194;2598.0;6032.0;4115.5;24030.0;-14.5;22160.0;26270.0
01195;716.0;1752.0;1171.7;25630.0;;;
01196;490.0;1211.0;804.7;23020.0;;;
01197;177.0;381.0;266.7;25780.0;;;
01198;98.0;253.0;166.3;25480.0;;;
01199;979.0;2105.0;1471.3;23050.0;-14.5;;26450.0
01200;85.0;208.0;139.6;23480.0;;;
01202;3302.0;7273.0;5046.3;23820.0;-14.9;21400.0;26650.0
01203;542.0;1298.0;877.5;24820.0;;;
01204;286.0;688.0;462.9;25910.0;;;
01206;115.0;279.0;188.1;24700.0;;;
01207;131.0;352.0;227.6;27830.0;;;
01208;68.0;130.0;95.0;22170.0;;;
01209;284.0;713.0;468.2;31670.0;;;
01210;109.0;203.0;150.1;24020.0;;;
01211;635.0;1481.0;1007.6;24780.0;;;
01212;288.0;697.0;467.5;22570.0;;;
01213;542.0;1424.0;925.8;24160.0;;;
01214;71.0;153.0;108.3;26540.0;;;
01215;54.0;132.0;88.6;23850.0;;;
01216;360.0;806.0;563.7;24130.0;;;
01219;78.0;155.0;111.9;22500.0;;;
01224;1328.0;3408.0;2219.6;23420.0;-14.4;;26770.0
01225;151.0;352.0;242.1;28430.0;;;
01227;273.0;661.0;446.5;25450.0;;;
01228;267.0;625.0;428.1;26830.0;;;
01229;517.0;1198.0;816.0;24580.0;;;
01230;143.0;317.0;220.2;21030.0;;;
01231;834.0;2061.0;1379.0;25260.0;-15.4;;26160.0
01232;973.0;2214.0;1527.2;24540.0;-15.2;;26870.0
01233;54.0;119.0;84.0;24140.0;;;
01234;68.0;144.0;102.8;23750.0;;;
01235;468.0;1186.0;774.0;22870.0;;;
01236;409.0;980.0;658.2;24430.0;;;
01237;648.0;1659.0;1099.0;24590.0;;;
01238;1060.0;2843.0;1846.7;28590.0;-17.3;;29410.0
01239;257.0;607.0;411.9;23900.0;;;
01240;279.0;622.0;433.0;24660.0;;;
01241;584.0;1346.0;920.3;26000.0;;;
01242;59.0;127.0;88.5;20070.0;;;
01243;505.0;1289.0;856.4;27580.0;;;
01244;3395.0;7862.0;5329.4;24890.0;-15.7;22240.0;28180.0
01245;392.0;906.0;619.1;25140.0;;;
01246;936.0;2217.0;1500.7;23740.0;-13.9;;26240.0
01247;138.0;294.0;207.2;31560.0;;;
01248;913.0;2303.0;1534.2;29130.0;-18.1;;31020.0
01249;4028.0;9403.0;6361.1;26720.0;-17.4;22140.0;31100.0
01250;716.0;1979.0;1267.2;27460.0;;;
01252;327.0;872.0;563.3;26260.0;;;
01254;859.0;2251.0;1467.4;27200.0;-19.1;;30890.0
01255;264.0;590.0;406.1;22080.0;;;
01257;145.0;356.0;236.5;30110.0;;;
01258;473.0;1223.0;803.9;27440.0;;;
01259;263.0;673.0;442.1;24810.0;;;
01260;120.0;343.0;215.6;28850.0;;;
01261;260.0;687.0;446.2;28010.0;;;
01262;2980.0;6928.0;4716.5;23590.0;-15.6;21450.0;26980.0
01263;1651.0;3927.0;2660.7;25970.0;-16.4;23810.0;29300.0
01264;409.0;1005.0;675.7;25180.0;;;
01265;1522.0;3452.0;2376.0;21010.0;-13.3;20890.0;23870.0
01266;1256.0;2471.0;1806.5;22720.0;-13.0;20440.0;24820.0
01267;398.0;975.0;659.4;25120.0;;;
01268;99.0;246.0;163.4;24830.0;;;
01269;1398.0;3071.0;2123.4;18370.0;-13.6;20670.0;23260.0
01272;686.0;1556.0;1070.9;23200.0;;;
01273;747.0;1787.0;1203.0;23060.0;;;
01274;244.0;620.0;406.7;20810.0;;;
01275;988.0;2373.0;1605.0;30240.0;-24.9;;33260.0
01276;568.0;1585.0;1016.3;28000.0;;;
01277;63.0;129.0;92.8;23550.0;;;
01279;;;;;;;
01280;74.0;145.0;104.7;23420.0;;;
01281;1636.0;3901.0;2606.2;37070.0;-16.3;27930.0;43650.0
01282;103.0;256.0;169.1;25470.0;;;
01283;9011.0;21446.0;14424.7;18340.0;-13.3;19170.0;21920.0
01284;288.0;735.0;483.0;23270.0;;;
01285;496.0;1312.0;852.0;29480.0;;;
01286;404.0;986.0;664.5;26600.0;;;
01288;955.0;2345.0;1553.1;39700.0;-15.7;;41170.0
01289;2786.0;6163.0;4298.7;24100.0;-15.4;22270.0;27440.0
01290;587.0;1337.0;922.3;26770.0;;;
01291;342.0;836.0;564.7;24000.0;;;
01293;62.0;147.0;100.3;24740.0;;;
01294;347.0;824.0;552.2;23600.0;;;
01295;227.0;621.0;394.9;24570.0;;;
01296;158.0;371.0;251.3;22920.0;;;
01297;341.0;943.0;601.0;27060.0;;;
01298;62.0;142.0;96.6;29270.0;;;
01299;200.0;505.0;331.3;25540.0;;;
01301;1140.0;2624.0;1797.3;25060.0;-15.5;;28390.0
01302;74.0;157.0;112.3;24270.0;;;
01303;807.0;1746.0;1219.2;22280.0;;;
01304;1191.0;2836.0;1911.5;22810.0;-14.6;;26010.0
01305;1095.0;2042.0;1518.6;21070.0;-12.9;20620.0;24120.0
01306;725.0;1347.0;1000.2;21330.0;;;
01307;362.0;816.0;564.7;22270.0;;;
01308;295.0;671.0;460.0;41270.0;;;
01309;;;;;;;
01310;48.0;117.0;76.9;24070.0;;;
01311;;;;;;;
01313;3084.0;7535.0;4976.0;44430.0;-17.3;37560.0;48080.0
01314;739.0;1782.0;1189.5;25110.0;;;
01317;131.0;336.0;218.6;24270.0;;;
01318;260.0;773.0;487.3;29400.0;;;
01319;186.0;461.0;306.3;25090.0;;;
01320;1629.0;3985.0;2666.6;24890.0;-15.9;;27100.0
01321;333.0;889.0;580.7;27570.0;;;
01322;1858.0;4893.0;3198.9;29130.0;-19.5;;32350.0
01323;417.0;969.0;661.5;23300.0;;;
01325;430.0;1132.0;738.1;26270.0;;;
01328;204.0;499.0;331.8;25220.0;;;
01329;75.0;142.0;104.0;20680.0;;;
01330;78.0;160.0;115.3;21390.0;;;
01331;76.0;168.0;116.2;24030.0;;;
01332;328.0;844.0;558.5;25800.0;;;
01333;1429.0;3295.0;2262.2;26550.0;-15.9;;28880.0
01334;249.0;662.0;430.0;24370.0;;;
01335;139.0;382.0;244.7;25930.0;;;
01336;492.0;1155.0;783.4;24070.0;;;
01337;554.0;1362.0;910.4;23070.0;;;
01338;513.0;1198.0;816.8;23430.0;;;
01339;603.0;1563.0;1030.7;32220.0;;;
01342;194.0;520.0;342.6;30350.0;;;
01343;737.0;1876.0;1233.0;24170.0;;;
01344;2613.0;6007.0;4124.2;25580.0;-16.1;23690.0;29310.0
01345;981.0;2227.0;1532.5;23670.0;-14.9;;26990.0
01346;347.0;853.0;568.6;24190.0;;;
01347;826.0;2190.0;1429.6;28190.0;-19.0;;30810.0
01348;1226.0;2834.0;1940.1;23560.0;-14.2;;25880.0
01349;213.0;567.0;366.4;26490.0;;;
01350;1125.0;2550.0;1754.7;24380.0;-14.7;;27440.0
01351;643.0;1687.0;1094.0;23960.0;;;
01352;227.0;523.0;357.3;23260.0;;;
01353;614.0;1656.0;1073.3;27990.0;;;
01354;4661.0;11174.0;7410.5;30790.0;-15.7;35370.0;41910.0
01355;209.0;508.0;340.0;24660.0;;;
01356;84.0;217.0;140.8;25660.0;;;
01357;197.0;467.0;315.2;21610.0;;;
01358;177.0;425.0;285.8;23210.0;;;
01359;99.0;257.0;167.7;25790.0;;;
01360;720.0;1798.0;1181.1;42220.0;;;
01361;739.0;1881.0;1240.9;28140.0;;;
01362;299.0;853.0;541.1;28910.0;;;
01363;797.0;1792.0;1233.5;24660.0;;;
01364;333.0;735.0;508.4;22170.0;;;
01365;475.0;1149.0;772.3;24530.0;;;
01366;415.0;1083.0;704.4;24930.0;;;
01367;315.0;642.0;460.0;22270.0;;;
01368;327.0;877.0;566.2;23300.0;;;
01369;385.0;936.0;630.4;27390.0;;;
01370;957.0;1637.0;1247.7;19550.0;;;
01371;474.0;1191.0;789.6;25130.0;;;
01372;175.0;411.0;283.0;25590.0;;;
01373;442.0;1033.0;709.1;25030.0;;;
01374;806.0;1939.0;1304.8;25490.0;;;
01375;328.0;841.0;553.4;25350.0;;;
01376;1633.0;3838.0;2598.1;23570.0;-15.4;22620.0;26220.0
01378;1093.0;2840.0;1867.4;28170.0;-16.9;;30040.0
01379;308.0;764.0;506.2;24110.0;;;
01380;273.0;573.0;410.0;22400.0;;;
01381;328.0;837.0;550.4;24340.0;;;
01382;118.0;304.0;198.2;25280.0;;;
01383;600.0;1442.0;967.3;23200.0;;;
01384;974.0;2045.0;1435.5;20170.0;-12.0;19090.0;23490.0
01385;407.0;943.0;648.5;27430.0;;;
01386;491.0;1127.0;775.4;26690.0;;;
01387;90.0;254.0;158.2;23240.0;;;
01388;470.0;968.0;689.2;21030.0;;;
01389;765.0;1713.0;1182.3;23920.0;;;
01390;476.0;1141.0;763.8;24750.0;;;
01391;146.0;307.0;219.2;22940.0;;;
01392;263.0;654.0;442.8;27660.0;;;
01393;219.0;568.0;373.4;25970.0;;;
01396;436.0;946.0;663.2;21130.0;;;
01397;376.0;921.0;614.8;41070.0;;;
01398;560.0;1476.0;955.4;26370.0;;;
01399;850.0;2109.0;1388.8;42330.0;-18.0;;42710.0
01400;60.0;126.0;88.8;22970.0;;;
01401;765.0;1959.0;1278.2;42940.0;;;
01402;305.0;681.0;471.5;22230.0;;;
01403;570.0;1303.0;893.0;22690.0;;;
01404;68.0;126.0;94.5;23640.0;;;
01405;509.0;1236.0;830.8;22670.0;;;
01406;76.0;169.0;116.9;23480.0;;;
01407;434.0;918.0;643.8;23780.0;;;
01408;280.0;657.0;446.9;23210.0;;;
01410;131.0;318.0;214.9;27530.0;;;
