insee_code,categorie_terrain,commune_name,median_price_m2,q1_price_m2,q3_price_m2,nb_transactions,perc_bare_land,dispersion_index
01001,Terrains Standards,L'ABERGEMENT-CLEMENCIAT,534.521158129176,429.0,580.0,7,0.42857142857142855,0.2824958333333333
01002,Terrains Standards,ABERGEMENT-DE-VAREY (L ),580.6712600480216,266.46219814474307,1506.0961346729046,16,0.8125,2.1348291569065148
01004,Micro-terrains,AMBERIEU-EN-BUGEY,3426.753008895866,1784.3602825745684,8454.545454545456,8,0.75,1.946503046661098
01004,Terrains Standards,AMBERIEU-EN-BUGEY,621.4099216710183,333.3333333333333,1178.8048552754435,118,0.6101694915254238,1.3605697180833118
01005,Terrains Standards,AMBERIEUX-EN-DOMBES,311.7154811715481,244.37299035369776,321.02272727272725,9,0.4444444444444444,0.24589647145836308
01007,Terrains Standards,AMBRONAY,497.4182444061962,343.75,790.5524636894258,67,0.746268656716418,0.8982430152372195
01009,Terrains Standards,ANDERT-CONDON,1.7561740781882682,0.6352820196574567,3.2906718408315903,6,0.8333333333333334,1.5120310988267909
01010,Micro-terrains,ANGLEFORT,2738.095238095238,16.666666666666668,7678.571428571428,9,1.0,2.798260869565217
01010,Terrains Standards,ANGLEFORT,630.4985337243402,133.83838383838383,1431.794308632544,24,0.8333333333333334,2.0586184667665517
01014,Terrains Standards,ARBENT,286.20429702223896,140.37433155080214,494.66680747703026,42,0.7142857142857143,1.2379006171898896
01015,Terrains Standards,ARBOYS EN BUGEY,826.9230769230769,496.13927738927737,1519.081081081081,11,0.9090909090909091,1.2370459021389253
01021,Terrains Standards,ARS-SUR-FORMANS,464.9166666666667,443.8642297650131,627.8026905829596,13,0.6153846153846154,0.3956374851793078
01022,Terrains Standards,ARTEMARE,528.8461538461538,432.0987654320988,531.5614617940199,19,0.5263157894736842,0.18807491675708723
01024,Terrains Standards,ATTIGNAT,307.64601677148846,181.1080523055747,549.3103317786629,18,0.5555555555555556,1.19683746708991
01025,Terrains Standards,BAGE-DOMMARTIN,397.05882352941177,263.25028401918706,474.8435054773083,15,0.06666666666666667,0.5329014466352684
01026,Terrains Standards,BAGE-LE-CHATEL,540.0,431.0344827586207,1366.3366336633662,17,0.4117647058823529,1.732041020193973
01027,Terrains Standards,BALAN,523.1886363636363,365.01003128033653,1118.2108626198083,20,0.65,1.4396353035771368
01031,Terrains Standards,BELLIGNAT,1356.9321533923303,1356.9321533923303,1356.9321533923303,29,0.1724137931034483,0.0
01032,Terrains Standards,BELIGNEUX,565.0,408.05288461538464,852.9032258064516,9,0.4444444444444444,0.7873457366213574
01033,Micro-terrains,VALSERHONE,5815.337763012181,1204.0652173913045,7775.0,16,0.875,1.129931751239353
01033,Terrains Standards,VALSERHONE,787.0370370370371,266.82134570765663,1324.8869162056474,123,0.6260162601626016,1.344365666044506
01034,Micro-terrains,BELLEY,1833.3333333333335,1372.9260935143288,5678.125,16,0.9375,2.348290312628548
01034,Terrains Standards,BELLEY,433.505182425148,252.5872264931993,987.4306018210082,38,0.5263157894736842,1.6951201626169532
01035,Terrains Standards,BELLEYDOUX,262.4859392575928,224.9718785151856,300.0,10,0.7,0.2858367259481465
01036,Terrains Standards,VALROMEY-SUR-SERAN,547.02933805101,284.8086124401914,1945.2866242038217,32,0.53125,3.0354459921284738
01037,Terrains Standards,BENONCES,45.443308550185876,29.14083705810646,119.85710852638661,11,0.9090909090909091,1.9962514694126314
01038,Terrains Standards,BENY,113.24062214212887,42.811535589162354,146.0843373493976,8,0.625,0.9119766370641891
01040,Terrains Standards,BEREZIAT,429.0915619389587,221.05263157894737,575.6245210727969,12,0.3333333333333333,0.8263315360750205
01041,Terrains Standards,BETTANT,346.15384615384613,16.17283950617284,1521.7391304347825,21,0.7142857142857143,4.349413729349317
01043,Terrains Standards,BEYNOST,731.6470588235294,492.8792718596059,1318.2367802585195,36,0.6111111111111112,1.1280814956409013
01044,Terrains Standards,BILLIAT,796.0,746.6238532110092,1311.6883116883118,7,0.42857142857142855,0.7098799729614355
01045,Terrains Standards,BIRIEUX,1205.9294871794873,538.5281916925932,1611.1874236874237,8,0.75,0.8894875226109955
01046,Terrains Standards,BIZIAT,362.0426829268293,332.7767527675277,454.9939442031407,7,0.42857142857142855,0.3375767477126827
01047,Terrains Standards,BLYES,568.2956674696952,437.0179948586118,708.2494969818913,10,0.4,0.4772718105188495
01049,Terrains Standards,LA BOISSE,547.112462006079,449.21875,600.2858282913005,15,0.5333333333333333,0.2761170486546548
01053,Micro-terrains,BOURG-EN-BRESSE,4659.090909090909,4659.090909090909,9961.538461538461,5,0.8,1.1380863039399625
01053,Terrains Standards,BOURG-EN-BRESSE,401.48824164521136,239.23444976076556,1879.7938969208697,124,0.5483870967741935,4.0861955021084775
01054,Micro-terrains,BOURG-SAINT-CHRISTOPHE,7564.102564102564,7104.166666666666,27750.0,7,1.0,2.729449152542373
01054,Terrains Standards,BOURG-SAINT-CHRISTOPHE,974.3589743589744,942.2849666582258,985.9056872331208,6,0.16666666666666666,0.04476863427423436
01056,Terrains Standards,BOYEUX-SAINT-JEROME,8.199823695320683,4.286114173228347,17.171252062468824,44,0.9772727272727273,1.5713920650017779
01057,Terrains Standards,BOZ,379.0816326530612,310.7181863571117,1217.3738347798137,7,0.5714285714285714,2.391716111586132
01061,Terrains Standards,BRENS,252.26390685640362,229.66993469771273,272.5197861278216,7,0.42857142857142855,0.16986120592550843
01063,Terrains Standards,BRION,433.4365325077399,109.07003360086863,452.9086325707615,6,0.6666666666666666,0.7932847676233957
