median_income,nb_households,median_price_m2,predicted_price,residual_error,insee_code,commune,dept_code
21660.0,6855.0,2409.090909090909,2418.2356968864897,-9.144787795580669,01004,AMBERIEU-EN-BUGEY,01
24610.0,800.0,3170.2127659574467,2849.470379718587,320.7423862388596,01005,AMBERIEUX-EN-DOMBES,01
24860.0,1184.0,2181.818181818182,2448.961176317211,-267.1429944990291,01007,AMBRONAY,01
24700.0,481.0,2716.8021680216802,2456.6727687360385,260.12939928564174,01010,ANGLEFORT,01
26430.0,565.0,2261.7354196301567,2309.213008691648,-47.47758906149147,01021,ARS-SUR-FORMANS,01
22000.0,574.0,1666.6666666666667,1781.6199200783208,-114.95325341165403,01022,ARTEMARE,01
24460.0,1406.0,2473.1182795698924,2561.5526445977744,-88.434365027882,01024,ATTIGNAT,01
24880.0,1628.0,2365.3734449621434,2457.4458437702574,-92.07239880811403,01025,BAGE-DOMMARTIN,01
22860.0,434.0,1983.1932773109243,1965.5044336452813,17.688843665642935,01026,BAGE-LE-CHATEL,01
25770.0,712.0,3142.601787487587,2806.1354548763966,336.4663326111904,01027,BALAN,01
20550.0,1479.0,2012.135844940426,1906.3174216672812,105.81842327314484,01031,BELLIGNAT,01
23060.0,1184.0,3305.0,2731.510864870426,573.4891351295742,01032,BELIGNEUX,01
23780.0,6545.0,3320.625,3318.6400773382043,1.9849226617957356,01033,VALSERHONE,01
21180.0,4073.0,1909.090909090909,1977.7509054808127,-68.65999638990365,01034,BELLEY,01
23820.0,592.0,1716.4179104477612,1972.36516659272,-255.94725614495883,01036,VALROMEY-SUR-SERAN,01
25150.0,336.0,1693.5483870967741,1747.3932732158507,-53.84488611907659,01041,BETTANT,01
28730.0,1963.0,3673.0093676814986,3429.6550172223565,243.3543504591421,01043,BEYNOST,01
27110.0,484.0,2700.0,3116.964021424178,-416.9640214241781,01047,BLYES,01
26780.0,1279.0,3505.855855855856,2941.1020988697105,564.7537569861456,01049,LA BOISSE,01
20210.0,18870.0,2156.9444444444443,1921.6895626118164,235.25488183262792,01053,BOURG-EN-BRESSE,01
27320.0,573.0,2723.5772357723577,2534.383016755599,189.19421901675878,01054,BOURG-SAINT-CHRISTOPHE,01
26810.0,794.0,2593.75,2538.4423163141014,55.30768368589861,01065,BUELLAS,01
